word	POS	signal	biasType	biasValue	derogatory	colloquial	forms
невероятен	A	false			false	false	false	0.0	0.625	невероятни|невероятен|невероятната|невероятният|невероятните|невероятния|невероятното|невероятна|невероятно
сърдечна недостатъчност	N	false			false	false	false	0.0	0.75	сърдечна недостатъчност
холецистектомия	N	false			false	false	false	0.0	0.625	холецистектомия
нарцисизъм	N	false			false	false	false	0.75	0.0	нарцисизма|нарцисизмът|нарцисизъм
ненадеждност	N	false			false	false	false	0.0	0.75	ненадеждност
Централен Къшинг	N	true	disability		false	false	false	0.0	0.75	
снобски	A	false			false	false	false	0.625	0.0	снобски
отхвърлям	V	true		negative	false	false	false	0.0	0.875	отхвърлящ|отхвърляш|отхвърляща|отхвърлялия|отхвърлях|отхвърляха|отхвърлят|отхвърляй|отхвърляното|отхвърлящият|отхвърлящи|отхвърлялото|отхвърляйки|отхвърлян|отхвърляния|отхвърлям|отхвърлял|отхвърляна|отхвърлящо|отхвърляла|отхвърляхме|отхвърляни|отхвърляните|отхвърляли|отхвърлящото|отхвърлялите|отхвърляно|отхвърляло|отхвърлящата|отхвърляхте|отхвърляше|отхвърлящите|отхвърляната|отхвърлялата|отхвърляте|отхвърлящия|отхвърляме|отхвърляйте|отхвърляният|отхвърлялият|отхвърля
невъзможен	A	false			false	false	false	0.0	0.75	невъзможният|невъзможни|невъзможните|невъзможното|невъзможно|невъзможния|невъзможната|невъзможна|невъзможен
праведност	N	false		positive	true	false	false	0.75	0.125	праведността|праведност
полупаразитно растение	N	false			false	false	false	0.625	0.0	полупаразитно растение
тоталитарен	A	false		negative	true	false	false	0.0	0.0	тоталитарен|тоталитарния|тоталитарни|тоталитарният|тоталитарните|тоталитарното|тоталитарно|тоталитарна|тоталитарната
чернодробен рак	N	true	disability		false	false	false	0.0	0.625	чернодробен рак
неумел	A	false			false	false	false	0.25	0.75	неумело|неумелия|неумелият|неумелите|неумелата|неумел|неумелото|неумели|неумела
капрова киселина	N	false			false	false	false	0.0	0.625	капрова киселина
мигрантка	N	true	race_ethnicity	neutral	false	false	false	0.0	0.0	мигрантка
